# FIRENZE V6.3
#
# Close Approach output file for integration on 2023-02-08 17:26:13.537507
# Configuration file used: /home/cgregg/codes/PhD_Work/InterstellarMeteoroids/GalacticSimulation/Gaia_DR3_4472832130942575872_110Myr_2000x1Myr.cfg
# Galactic Simulation
# Galactic parameters [M a b] - (Solar masses AU AU):
# Bulge: [14000000000.0, 0.0, 72192682.625] Disk: [79100000000.0, 721926826.25, 51566201.875] Halo: [698000000000.0, 0.0, 4950355380.0]
# Solar parameters [AU, AU/yr]:
# pos = [ 1.50253513e+09 -9.05737086e+08 -1.87942738e+07] vel = [-22.21125568 -42.15195327   0.34297791]
# Galactic Potential: 0 (0-Bailer-Jones 2015, 1-Dybczynski & Berski 2015)
# Integration Method: 2 (0-Euler, 1-RK4, 2-RKF)
# Time-step error tolerance (For RKF): 1e-06
# Initial time-step: 999.9811137685292
# Output every 1000.0 iterations
# heliocentric Distance calculation setting: 3
# 	[0-never, 1 - At the end, 2-When writing to file, 3-Every step]
# Number of initial particles: 2
# Integration lasting for 110000000.0 yrs
# Integrating the following bodies in the Milky Way starting at JD=-36523273294.125
#############################################################################################################
t x y z vx vy vz body jd aprnt_x aprnt_y aprnt_z aprnt_vel_x aprnt_vel_y aprnt_vel_z helio_dist CloseApproachFlag
99931112.64223042 -1718292876.06062 -3325125.00376 +5411508.53169 -27.63248 +49.56567 +5.56021 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1145 -22745044.125 +51400.23978 +26142.15194 -52018.09881 -29.88315 +0.99572 +4.02803 77661.312 1
99931112.64223042 -1718320533.88199 -3418994.50898 +5516379.90085 -28.90008 +49.48905 +5.54585 Gaia_DR3_4472832130942575872_debris_-657184294.125_149 -22745044.125 +23742.41841 -67727.35328 +52853.27035 -31.15076 +0.91911 +4.01368 89130.045 1
99932112.6233442 -1718320507.35674 -3275560.26831 +5417068.61648 -27.63116 +49.56567 +5.56017 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1145 -22379794.125 +21517.65441 +27137.85600 -47990.14250 -29.88315 +0.99572 +4.02803 59182.146 1
99932112.6233442 -1718264050.00749 -3336350.75016 +5415966.30478 -27.62983 +49.56520 +5.55946 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1569 -22379794.125 +77975.00366 -33652.62585 -49092.45419 -29.88182 +0.99525 +4.02732 98095.206 1
99932112.6233442 -1718349432.76005 -3369506.38987 +5521925.63045 -28.89877 +49.48906 +5.54581 Gaia_DR3_4472832130942575872_debris_-657184294.125_149 -22379794.125 -7407.74891 -66808.26556 +56866.87148 -31.15076 +0.91911 +4.01368 88045.784 1
99933112.60445796 -1718348137.33537 -3225995.53035 +5422628.66191 -27.62984 +49.56568 +5.56013 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1145 -22014544.125 -8364.93095 +28133.56004 -43962.18585 -29.88315 +0.99572 +4.02803 52859.654 1
99933112.60445796 -1718291678.65544 -3286786.48483 +5421525.63861 -27.62851 +49.56520 +5.55942 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1569 -22014544.125 +48093.74898 -32657.39444 -45065.20915 -29.88182 +0.99525 +4.02732 73555.334 1
99933112.60445796 -1718378330.32066 -3320018.26817 +5527471.31996 -28.89745 +49.48906 +5.54577 Gaia_DR3_4472832130942575872_debris_-657184294.125_149 -22014544.125 -38557.91624 -65889.17779 +60880.47220 -31.15076 +0.91911 +4.01368 97644.911 1
99934112.58557174 -1718375765.99654 -3176430.78991 +5428188.66797 -27.62852 +49.56568 +5.56009 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1145 -21649294.125 -38247.51631 +29129.26405 -39934.22888 -29.88315 +0.99572 +4.02803 62499.033 1
99934112.58557174 -1718319305.98589 -3237222.21697 +5427084.93307 -27.62719 +49.56521 +5.55938 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1569 -21649294.125 +18212.49434 -31662.16301 -41037.96379 -29.88182 +0.99525 +4.02732 54939.075 1
99935112.5666855 -1718403393.34027 -3126866.04704 +5433748.63460 -27.62721 +49.56568 +5.56005 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1145 -21284044.125 -68130.10169 +30124.96805 -35906.27162 -29.88315 +0.99572 +4.02803 82695.132 1
99935112.5666855 -1718346931.99885 -3187657.94664 +5432644.18810 -27.62588 +49.56521 +5.55934 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1569 -21284044.125 -11668.76028 -30666.93155 -37010.71813 -29.88182 +0.99525 +4.02732 49461.236 1
99936112.54779927 -1718374556.69435 -3138093.67386 +5438203.40368 -27.62456 +49.56521 +5.55930 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1569 -20918794.125 -41550.01491 -29671.70007 -32983.47220 -29.88182 +0.99525 +4.02732 60784.233 1
99937112.52891304 -1718402180.07241 -3088529.39867 +5443762.57977 -27.62324 +49.56521 +5.55926 Gaia_DR3_4472832130942575872_debris_-14564443294.125_1569 -20553544.125 -71431.26957 -28676.46856 -28956.22604 -29.88182 +0.99525 +4.02732 82238.854 1
99945112.37782319 -1718285328.55950 -2678160.22622 +5400606.63627 -30.10054 +49.41020 +5.46431 Gaia_DR3_4472832130942575872_debris_-291203794.125_1159 -17631544.125 +27309.80134 -6859.72689 -84366.17719 -32.36965 +0.84022 +3.93269 88941.177 1
99946112.35893695 -1718315427.86860 -2628750.95728 +5406070.82713 -30.09922 +49.41020 +5.46427 Gaia_DR3_4472832130942575872_debris_-291203794.125_1159 -17266294.125 -5059.24169 -6019.52140 -80433.55815 -32.36965 +0.84022 +3.93269 80817.002 1
99947112.34005073 -1718345525.86021 -2579341.68632 +5411534.97873 -30.09790 +49.41021 +5.46424 Gaia_DR3_4472832130942575872_debris_-291203794.125_1159 -16901044.125 -37428.28472 -5179.31591 -76500.93853 -32.36965 +0.84022 +3.93269 85323.475 1
99952112.24561957 -1718272997.22566 -2384685.27187 +5423992.66102 -27.58720 +49.58224 +5.39933 Gaia_DR3_4472832130942575872_debris_-11636599294.125_626 -15074794.125 +23725.33032 -53368.25765 -71700.31808 -29.86554 +1.01225 +3.86799 92477.012 1
99953112.22673334 -1718300583.24362 -2335103.96854 +5429391.86843 -27.58588 +49.58224 +5.39929 Gaia_DR3_4472832130942575872_debris_-11636599294.125_626 -14709544.125 -6139.64404 -52356.03107 -67832.40334 -29.86554 +1.01225 +3.86799 85907.416 1
99954112.2078471 -1718328167.94407 -2285522.66343 +5434791.03642 -27.58456 +49.58224 +5.39925 Gaia_DR3_4472832130942575872_debris_-11636599294.125_626 -14344294.125 -36004.61839 -51343.80446 -63964.48812 -29.86554 +1.01225 +3.86799 89576.641 1
99958112.13230218 -1718236019.74753 -2045991.06488 +5432376.76635 -28.37412 +49.50998 +5.41326 Gaia_DR3_4472832130942575872_debris_-657184294.125_302 -12883294.125 +47009.30748 -6088.53667 -72503.36976 -30.66037 +0.93998 +3.88216 86623.807 1
99959112.11341594 -1718264392.67374 -1996482.01985 +5437789.90334 -28.37280 +49.50998 +5.41322 Gaia_DR3_4472832130942575872_debris_-657184294.125_302 -12518044.125 +16349.51983 -5148.57834 -68621.28574 -30.66037 +0.93998 +3.88216 70729.736 1
99960112.09452972 -1718207352.07715 -1973321.45824 +5476205.27553 -27.60759 +49.58362 +5.41282 Gaia_DR3_4472832130942575872_debris_-5780911294.125_864 -12152794.125 +71101.93748 -30557.10494 -31736.92654 -29.89648 +1.01362 +3.88180 83644.813 1
99960112.09452972 -1718292764.28242 -1946972.97329 +5443203.00084 -28.37149 +49.50998 +5.41318 Gaia_DR3_4472832130942575872_debris_-657184294.125_302 -12152794.125 -14310.26780 -4208.62000 -64739.20123 -30.66037 +0.93998 +3.88216 66435.385 1
99961112.07564348 -1718234958.49168 -1923738.76939 +5481617.97075 -27.60628 +49.58363 +5.41278 Gaia_DR3_4472832130942575872_debris_-5780911294.125_864 -11787544.125 +41206.02647 -29543.50581 -27855.20430 -29.89648 +1.01362 +3.88180 57850.391 1
99961112.07564348 -1718321134.57359 -1897463.92524 +5448616.05880 -28.37017 +49.50998 +5.41314 Gaia_DR3_4472832130942575872_debris_-657184294.125_302 -11787544.125 -44970.05544 -3268.66165 -60857.11626 -30.66037 +0.93998 +3.88216 75740.205 1
99961112.07564348 -1718190475.16313 -1921153.88130 +5477163.58770 -29.32602 +49.36639 +5.44949 Gaia_DR3_4472832130942575872_debris_-291203794.125_699 -11787544.125 +85689.35502 -26958.61771 -32309.58736 -31.61621 +0.79638 +3.91851 95463.826 1
99962112.05675726 -1718262563.58866 -1874156.07907 +5487030.62616 -27.60496 +49.58363 +5.41274 Gaia_DR3_4472832130942575872_debris_-5780911294.125_864 -11422294.125 +11310.11551 -28529.90664 -23973.48187 -29.89648 +1.01362 +3.88180 38943.576 1
99962112.05675726 -1718349503.54727 -1847954.87573 +5454029.07719 -28.36885 +49.50999 +5.41310 Gaia_DR3_4472832130942575872_debris_-657184294.125_302 -11422294.125 -75629.84311 -2328.70331 -56975.03084 -30.66037 +0.93998 +3.88216 94717.739 1
99962112.05675726 -1718219799.96612 -1871788.42250 +5482612.95609 -29.32470 +49.36639 +5.44945 Gaia_DR3_4472832130942575872_debris_-291203794.125_699 -11422294.125 +54073.73804 -26162.25008 -28391.15194 -31.61621 +0.79638 +3.91851 66441.628 1
99963112.03787102 -1718290167.36811 -1824573.38731 +5492443.24172 -27.60364 +49.58363 +5.41270 Gaia_DR3_4472832130942575872_debris_-5780911294.125_864 -11057044.125 -18585.79545 -27516.30746 -20091.75926 -29.89648 +1.01362 +3.88180 38810.537 1
99963112.03787102 -1718249123.45155 -1822422.96228 +5488062.28466 -29.32338 +49.36639 +5.44941 Gaia_DR3_4472832130942575872_debris_-291203794.125_699 -11057044.125 +22458.12111 -25365.88243 -24472.71632 -31.61621 +0.79638 +3.91851 41793.648 1
99964112.0189848 -1718317769.83005 -1774990.69415 +5497855.81739 -27.60232 +49.58363 +5.41266 Gaia_DR3_4472832130942575872_debris_-5780911294.125_864 -10691794.125 -48481.70642 -26502.70826 -16210.03650 -29.89648 +1.01362 +3.88180 57581.548 1
99964112.0189848 -1718278445.61943 -1773057.50065 +5493511.57337 -29.32206 +49.36639 +5.44937 Gaia_DR3_4472832130942575872_debris_-291203794.125_699 -10691794.125 -9157.49580 -24569.51476 -20554.28053 -31.61621 +0.79638 +3.91851 33316.651 1
99965112.00009856 -1718345370.97451 -1725407.99963 +5503268.35314 -27.60101 +49.58363 +5.41262 Gaia_DR3_4472832130942575872_debris_-5780911294.125_864 -10326544.125 -78377.61743 -25489.10903 -12328.31363 -29.89648 +1.01362 +3.88180 83335.064 1
99965112.00009856 -1718307766.46980 -1723692.03766 +5498960.82219 -29.32075 +49.36640 +5.44933 Gaia_DR3_4472832130942575872_debris_-291203794.125_699 -10326544.125 -40773.11271 -23773.14707 -16635.84458 -31.61621 +0.79638 +3.91851 50043.587 1
99966111.98121233 -1718337086.00267 -1674326.57335 +5504410.03107 -29.31943 +49.36640 +5.44929 Gaia_DR3_4472832130942575872_debris_-291203794.125_699 -9961294.125 -72388.72966 -22976.77936 -12717.40852 -31.61621 +0.79638 +3.91851 77005.150 1
99967111.9623261 -1718197449.89349 -1578183.02046 +5447083.92333 -27.49992 +49.57718 +5.40497 Gaia_DR3_4472832130942575872_debris_-36523273294.125_373 -9596044.125 +64949.97792 +24597.67567 -71574.24901 -29.79803 +1.00716 +3.87423 99731.732 1
